State,Income
Andhra Pradesh ,143935
Arunachal Pradesh,127748
Assam,74204
Bihar,38631
Chhattisgarh,89813
Goa,422149
Gujarat,174652
Haryana,203340
Himachal Pradesh,167044
Jammu & Kashmir,83717
Jharkhand,69265
Karnataka,187649
Kerala,184000
Madhya Pradesh,82941
Maharashtra,176102
Manipur,65411
Meghalaya,81098
Mizoram,141210
Nagaland,102581
Odisha,84854
Punjab,142644
Rajasthan,99487
Sikkim,317134
Tamil Nadu,171583
Telangana,180697
Tripura,105044
Uttar Pradesh,55456
Uttarakhand,182320
West Bengal,93711
Andaman & Nicobar Islands,159664
Chandigarh,297313
Delhi,328985
Puducherry,203583
