Location,Latitude,Longitude
Kim,37.2811053,127.0507571
Sri Potti Sriramulu Nellore District,14.2937321,79.1136788
Boothapandi,8.2634687,77.4424016
Ribhoi District,25.8731842,91.2430091
Utai,37.2996219,127.0507571
Golugonda,17.678842,82.4634003
Khajuwala,28.7039875,72.5778077
Falta Industrial Growth Centre,37.2996219,127.0507571
Reasi District,33.0795916,74.4865617
Bhomoraguri Aidc,37.2996219,127.0507571
Kozhikode,11.2558266,75.7407734
Nimapada,20.0561705,85.985258
Amaravathi,37.2811053,127.0507571
Sikanderpur Ballia District,26.0176553,83.8764855
Tenali,16.2398118,80.6093316
Gobra Nawapara,20.9794964,81.8214204
Siligurili,37.2811053,127.0507571
Rampur District,28.7932658,78.8670547
Churhat,24.419817,81.6602181
Madathukulam,10.5597516,77.3556589
Nandgaonpeth Midc,37.2811053,127.0507571
Ayothiapattinam,11.6732508,78.228836
Bishrampur,23.1964829,82.9082798
Jalandhar,31.3223787,75.5033791
Vadakkummuri,10.433145,76.0995518
Kaniyambadi,12.8079294,79.1191683
Rajgir,25.0112075,85.3890506
Vijayapura,16.8297894,75.647497
Bhandara Midc,37.2811053,127.0507571
Jaggampeta,17.1727949,82.0494175
Kalayat,29.6766237,76.2300323
Athmallik,20.7234833,84.5196245
Roha Midc,37.2811053,127.0507571
Dungarpur,23.8466574,73.6962814
Palamu,24.2182044,83.641302
Chengalam South,9.5994474,76.4450485
Ahraura,25.0159185,83.0132759
Morbi,22.8049628,70.7867549
Arambol,15.6888303,73.6870187
Benipur,26.0550885,86.1368139
Amgaon Bk,21.3691291,80.3746603
Ghiraur,37.2811053,127.0507571
Kishangarh,26.5948845,74.816379
Akividu,16.5833141,81.3603104
Jeeran,37.2811053,127.0507571
Lonavala,18.7573528,73.3416824
Zamania,25.4218073,83.5404721
Pathanamthitta,9.2603232,76.7080209
Safipur,26.739017,80.3305785
Vasco De Gama,37.2811053,127.0507571
Udalguri,26.7401991,92.0595067
Bachhraon,28.9241098,78.2225703
Sangli Miraj Kupwad,16.8354352,74.5466214
Kathuwas,28.1371289,76.3414836
Ode,37.2811053,127.0507571
Dharmavaram,14.4168555,77.681668
Jeypur,18.8589914,82.4810574
Feroke,11.1758247,75.8259974
Rajasunakhala,20.1686438,85.3290146
Burdwano,37.2811053,127.0507571
North Guwahati,26.1923312,91.712937
Warangal Urban,17.9624406,78.6265567
Bhubaneswara,20.3008702,85.7504127
Pratapgarh City,25.899769,81.9269554
Kodagu District,12.378391,75.2192473
Mallur,11.5438383,78.1357311
Tumsar,21.3805942,79.7280861
Pauni,20.7895773,79.6159027
Chennai Metropolitan Area,12.8886068,79.2599395
Harindanga,22.0359033,88.3193922
Purwa,37.2811053,127.0507571
Jainagar,26.5876995,86.1169604
Daitari,37.2811053,127.0507571
Ratia,29.6729166,75.542882
Kariyangala,12.9306494,74.9504454
Lakhi Nepali,27.8398747,95.2378703
Kallelibhagom,9.0523897,76.536556
Kunigal,13.0240419,77.0110164
Ambernath,19.2001319,73.1671051
Jaypur,26.8851417,75.6504723
Kolazhy,10.5713736,76.2016683
Lonand,18.0409495,74.174044
Kalyan Dombivali,19.2093305,73.0645624
New India,37.2811053,127.0507571
Vellode,11.2485095,77.5935509
Palani,10.4528898,77.4988566
Mandalgarh,25.1907415,75.0532181
Kharkhoda,37.2811053,127.0507571
Nandej,22.9017449,72.6846572
Dibrugrah,27.4703275,94.8825741
Vijayapuri,16.5868893,79.3070503
Kapasan,-7.2418149,112.7421402
Hydrabad,37.2811053,127.0507571
Dowlaiswaram,16.9516013,81.7794119
Modinagar,28.8357414,77.5368406
Dhoraji,21.728741,70.4252595
Kolkatta,22.6757521,88.0495361
Tasawade Midc,37.2811053,127.0507571
Chirimiri,23.2026251,82.2889513
Pernem,15.7222127,73.7776108
Azam Garh,26.056835,83.1195258
Moradabad,28.8431354,78.697512
Kullu,31.9545843,77.0937828
Bhagal,30.066565,76.4111194
Kannauj,27.0437578,79.8982642
Kizhuparamba,11.2525866,75.9881546
Ezhupunna,9.8194217,76.2902747
Maurawan,26.4337296,80.8563562
Bhiwndi,19.2817659,72.9917832
Andal,37.2811053,127.0507571
Kochpara,26.102739,91.4985004
Gsfc Reliance Complex,37.2811053,127.0507571
Prithvipur,25.2191408,78.7152304
Noamundi,22.1568877,85.4985291
Panihati,22.6974991,88.3838953
Kalmeshwar,21.2344623,78.8900536
Cheppad,9.2378896,76.4653625
Unokoti District,37.2811053,127.0507571
Kathipudi,17.2421576,82.3260283
Chamarajanagara,11.9522596,76.5299268
Bandh Dih,23.658766,85.9804554
Manmad,20.2533122,74.4220838
Kosi Kalan,27.7884014,77.4221562
Soro,37.2811053,127.0507571
Ichalkrnaji,37.2811053,127.0507571
Deesa,24.2538772,72.1567831
Ranapurgada,20.0602614,85.3316708
Sanaswadi,18.6669857,74.0813201
Kota,25.1733863,75.7769083
