Product_name,Current_price
"Alcatel 3V (Spectrum Blue, 32 GB)(3 GB RAM)",5999.0
"Alcatel 3V (Spectrum Gold, 32 GB)(3 GB RAM)",5999.0
"Apple iPhone 6s (Silver, 32 GB)",29799.0
"Apple iPhone 6s (Space Grey, 32 GB)",29799.0
"Apple iPhone 6s Plus (Rose Gold, 32 GB)",33999.0
"Apple iPhone 7 (Silver, 128 GB)",46999.0
"Apple iPhone 7 Plus (Jet Black, 32 GB)",48999.0
"Apple iPhone 7 Plus (Rose Gold, 256 GB)",62900.0
"Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)",53490.0
"Apple iPhone 8 (Silver, 256 GB)",54999.0
"Apple iPhone 8 (Silver, 64 GB)",55999.0
"Apple iPhone 8 Plus (Gold, 256 GB)",62999.0
"Apple iPhone 8 Plus (Gold, 64 GB)",60499.0
"Apple iPhone 8 Plus (PRODUCT)RED (Red, 256 GB)",62999.0
"Apple iPhone SE (Gold, 128 GB)(2 GB RAM)",28490.0
"Apple iPhone SE (Gold, 32 GB)",16999.0
"Apple iPhone SE (Silver, 128 GB)",28490.0
"Apple iPhone X (Space Gray, 64 GB)",69999.0
"Apple iPhone XR (Black, 64 GB)",59999.0
"Apple iPhone XR (White, 64 GB)",59999.0
"Apple iPhone XS (Space Grey, 256 GB)",114900.0
"Asus Zenfone 3 (Gold, 32 GB)(3 GB RAM)",9999.0
"Asus Zenfone 4 Selfie (Black, 32 GB)(3 GB RAM)",7499.0
"Asus ZenFone Lite L1 (Gold, 16 GB)(2 GB RAM)",4999.0
"Asus ZenFone Max M2 (Black, 32 GB)(3 GB RAM)",7999.0
"Asus ZenFone Max M2 (Black, 64 GB)(4 GB RAM)",9499.0
"Asus ZenFone Max M2 (Blue, 32 GB)(3 GB RAM)",7999.0
"Asus ZenFone Max M2 (Silver, 64 GB)(4 GB RAM)",9499.0
"Asus Zenfone Max Pro M1 (Black, 64 GB)(4 GB RAM)",8499.0
"Asus Zenfone Max Pro M1 (Grey, 32 GB)(3 GB RAM)",7499.0
"BLU Studio G HD (Grey, 8 GB)(1 GB RAM)",3499.0
"BLU Studio One (Black, 16 GB)(2 GB RAM)",7999.0
"Cloudfone Special Edition (White, 16 GB)(2 GB RAM)",3499.0
"Forme F520 (Yellow, 4 GB)(512 MB RAM)",2099.0
"Gionee F9 (Blue, 32 GB)(3 GB RAM)",6999.0
"Gome C7 (Gold, 16 GB)(2 GB RAM)",3999.0
"Google Pixel (Very Silver, 128 GB)(4 GB RAM)",41980.0
"Google Pixel 2 (Clearly White, 64 GB)(4 GB RAM)",61000.0
"Google Pixel 3 (Clearly White, 64 GB)(4 GB RAM)",49999.0
"Google Pixel 3 (Just Black, 128 GB)(4 GB RAM)",58999.0
"Google Pixel 3 XL (Clearly White, 64 GB)(4 GB RAM)",54999.0
"Google Pixel 3 XL (Not Pink, 128 GB)(4 GB RAM)",65999.0
"Google Pixel XL (Quite Black, 128 GB)(4 GB RAM)",43990.0
"Honor 10 Lite (Midnight Black, 64 GB)(4 GB RAM)",12999.0
"Honor 10 Lite (Sapphire Blue, 32 GB)(3 GB RAM)",10999.0
"Honor 10 Lite (Sky Blue, 64 GB)(6 GB RAM)",12999.0
"Honor 20i (Midnight Black, 128 GB)(4 GB RAM)",12999.0
"Honor 5X (Grey, 16 GB)(2 GB RAM)",12999.0
"Honor 5X (Silver, 16 GB)(2 GB RAM)",12999.0
"Honor 7A (Black, 32 GB)(3 GB RAM)",8999.0
"Honor 7S (Blue, 16 GB)(2 GB RAM)",5499.0
"Honor 8C (Black, 32 GB)(4 GB RAM)",7999.0
"Honor 8C (Blue, 32 GB)(4 GB RAM)",7999.0
"Honor 8x (Black, 64 GB)(4 GB RAM)",11999.0
"Honor 8X (Blue, 128 GB)(6 GB RAM)",16795.0
"Honor 8X (Blue, 64 GB)(6 GB RAM)",13999.0
"Honor 9 Lite (Midnight Black, 32 GB)(3 GB RAM)",8999.0
"Honor 9 Lite (Sapphire Blue, 64 GB)(4 GB RAM)",11099.0
"Honor 9i (Aurora Blue, 64 GB)(4 GB RAM)",8999.0
"Honor 9N (Midnight Black, 64 GB)(4 GB RAM)",9999.0
"Honor 9N (Purple, 64 GB)(4 GB RAM)",14500.0
"Honor Play (Navy Blue, 64 GB)(6 GB RAM)",15999.0
"HTC Wildfire X (Blue MB, 128 GB)(4 GB RAM)",13999.0
"Infinix Hot 7 (Midnight Black, 64 GB)(4 GB RAM)",7999.0
"Infinix Note 5 (Berlin Gray, 32 GB)(3 GB RAM)",6999.0
"Infinix Note 5 Stylus (Charcoal Blue, 64 GB)(4 GB RAM)",15999.0
"Infinix Smart 2 (Serene Gold, 16 GB)(2 GB RAM)",4499.0
"Infinix Smart 3 Plus (Mocha Brown, 32 GB)(2 GB RAM)",6999.0
"InFocus A2 (Midnight Black, 8 GB)(1 GB RAM)",4299.0
"Intex Aqua Lions T1 Plus (Black, 16 GB)(2 GB RAM)",4199.0
"Itel A23 (Champagne Gold, 8 GB)(1 GB RAM)",3749.0
"Itel A23 (Gradation Phantom Black, 8 GB)(1 GB RAM)",4099.0
"Itel A44 Air (Slate Grey, 8 GB)(1 GB RAM)",3590.0
"Itel A44 Power (Aqua Blue, 8 GB)(1 GB RAM)",4675.0
"Itel A62 (Bordeaux Red, 16 GB)(2 GB RAM)",5499.0
"iVooMi i1s (New Edition) (Autumn Gold, 32 GB)(3 GB RAM)",8999.0
"Karbonn Alfa A91 Power (Champagne, 512 MB)(256 MB RAM)",2599.0
"Karbonn K9 Smart Yuva 4G VoLTE (Black & Champagne, 8 GB)(1 GB RAM)",3599.0
"KXD W50 (Gold, 8 GB)(1 GB RAM)",4099.0
"Lava A48 (Blue, 4 GB)(512 MB RAM)",2899.0
"Lava A50 (Black & Silver, 8 GB)(512 MB RAM)",2499.0
"Lava A52 (Black, 4 GB)(512 MB RAM)",1999.0
"Lava A97 2GB Plus (Blue, Black, 16 GB)(2 GB RAM)",7699.0
"Lava Flair P1i (Black, 512 MB)(256 MB RAM)",2222.0
"Lava Flair P1i (White, 512 MB)(256 MB RAM)",2899.0
"Lava Iris 370 (Black & Blue, 512 MB)(256 MB RAM)",2949.0
"Lava Iris Atom X (Black, 512 MB)(256 MB RAM)",1999.0
"Lava Iris X1 Grand (Black & Gold, 8 GB)(1 GB RAM)",7999.0
"Lava Z62 (Space Blue, 16 GB)(2 GB RAM)",4999.0
"Lava Z81 (Black, 16 GB)(2 GB RAM)",6999.0
"Lenovo A390 (White, 4 GB)(512 MB RAM)",7580.0
"Lenovo A5 (Gold, 16 GB)(2 GB RAM)",5999.0
"Lenovo K9 (Blue, 32 GB)(3 GB RAM)",6999.0
"Lenovo K9 Note (Gold, 64 GB)(4 GB RAM)",8999.0
"Lenovo Phab 2 Plus (Champagne Gold, 32 GB)(3 GB RAM)",9999.0
"LG K7i (Brown, 16 GB)(2 GB RAM)",9990.0
"LG K9 4G LTE (Black, 16 GB)(2 GB RAM)",6299.0
"Meizu M6T (Black, 32 GB)(3 GB RAM)",8999.0
"Micromax Android One (White, 4 GB)(1 GB RAM)",3499.0
"Micromax Bharat 4 Diwali Edition (Matte Black, 8 GB)(1 GB RAM)",4199.0
"Micromax Bolt Selfie (Champagne, 8 GB)(1 GB RAM)",3249.0
"Micromax Bolt Supreme 4 (Silver, 8 GB)(1 GB RAM)",3290.0
"Micromax Bolt Supreme 4 Q352 Plus (Grey, 16 GB)(1 GB RAM)",3590.0
"Micromax Canvas Xl2 (Black, 4 GB)(1 GB RAM)",4999.0
"Micromax Evok Power (Champagne, 16 GB)(2 GB RAM)",6999.0
"Micromax Evok Power (Grey, 16 GB)(2 GB RAM)",5499.0
"Micromax iOne (Black, 16 GB)(2 GB RAM)",5249.0
"Micromax Sliver 5 Q450 (Black, 16 GB)(2 GB RAM)",5250.0
"Micromax Spark Go (Rose Gold, 8 GB)(1 GB RAM)",3499.0
"Mobiistar C1 Shine (Blue, 16 GB)(2 GB RAM)",4399.0
"Mobiistar C1 Shine (Gold, 16 GB)(2 GB RAM)",4499.0
"Mobiistar X1 Dual (Black, 32 GB)(3 GB RAM)",7899.0
"Mobiistar XQ Dual (Black, 32 GB)(3 GB RAM)",7999.0
"Moto E (1st Gen) (Black, 4 GB)(1 GB RAM)",4999.0
"Moto E5 (Fine Gold, 16 GB)(2 GB RAM)",8999.0
"Moto G5s (Oxford Blue, 32 GB)(4 GB RAM)",9999.0
"Moto G7 Power (Ceramic Black, 64 GB)(4 GB RAM)",12999.0
"Nextbit Robin (Midnight, 32 GB)(3 GB RAM)",19999.0
"Nokia 1 (Warm Red, 8 GB)(1 GB RAM)",3757.0
"Nokia 2.1 (Blue & Silver, 8 GB)(1 GB RAM)",5117.0
"Nokia 3.1 Plus (Blue, 32 GB)(3 GB RAM)",8799.0
"Nokia 9 (Blue, 128 GB)(6 GB RAM)",49999.0
"Nubia Red Magic 3 (Camouflage, 256 GB)(12 GB RAM)",46999.0
"OPPO A3s (Purple, 32 GB)(3 GB RAM)",9550.0
"OPPO A3s (Purple, 64 GB)(4 GB RAM)",10990.0
"OPPO A3s (Red, 16 GB)(2 GB RAM)",6990.0
"OPPO A3s (Red, 64 GB)(4 GB RAM)",10990.0
"OPPO A5 (Diamond Blue, 32 GB)(4 GB RAM)",11990.0
"OPPO A5 (Diamond Red, 64 GB)(4 GB RAM)",9990.0
"OPPO A5s (Blue, 32 GB)(2 GB RAM)",8990.0
"OPPO A5s (Green, 64 GB)(4 GB RAM)",11990.0
"OPPO A5s (Red, 32 GB)(2 GB RAM)",8990.0
"OPPO A7 (Glaring Gold, 64 GB)(4 GB RAM)",12990.0
"OPPO A7 (Glaze Blue, 64 GB)(3 GB RAM)",12990.0
"OPPO A7 (Glaze Blue, 64 GB)(4 GB RAM)",12990.0
"OPPO A83 (Black, 32 GB)(3 GB RAM)",13490.0
"OPPO A83 (Champagne, 16 GB)(2 GB RAM)",8990.0
"OPPO A9 (Fluorite Purple, 128 GB)(4 GB RAM)",15490.0
"OPPO A9 (Marble Green, 128 GB)(4 GB RAM)",15490.0
"OPPO F11 (Marble Green, 128 GB)(4 GB RAM)",16990.0
"OPPO F11 Pro (Thunder Black, 64 GB)(6 GB RAM)",20990.0
"OPPO F7 (Red, 64 GB)(4 GB RAM)",22990.0
"OPPO F9 (Mist Black, 64 GB)(4 GB RAM)",16990.0
"OPPO F9 Pro (Starry Purple, 64 GB)(6 GB RAM)",17990.0
"OPPO Find X (Glacier Blue, 256 GB)(8 GB RAM)",58990.0
"OPPO K1 (Astral Blue, 64 GB)(4 GB RAM)",13990.0
"Panasonic Eluga A4 (Mocha Gold, 32 GB)(3 GB RAM)",12990.0
"Panasonic Eluga Ray (Gold, 16 GB)(3 GB RAM)",7999.0
"Panasonic Eluga Ray 600 (Black, 32 GB)(3 GB RAM)",6999.0
"Panasonic Eluga Ray 800 (Gold, 64 GB)(4 GB RAM)",6998.0
"Panasonic Eluga Ray Max (Gold, 32 GB)(4 GB RAM)",11499.0
"Panasonic P55 Max (Champagne Gold, 16 GB)(3 GB RAM)",8499.0
"Panasonic P55 Novo (Midnight Blue, 16 GB)(2 GB RAM)",6699.0
"Panasonic P71 (Ivory Gold, 16 GB)(2 GB RAM)",5450.0
"Panasonic P75 (Champagne Gold, 8 GB)(1 GB RAM)",4970.0
"Panasonic P85 (Gold, 16 GB)(2 GB RAM)",6499.0
"Panasonic P99 (Champagne Gold, 16 GB)(2 GB RAM)",8990.0
"Phonemax Mars X (Gold, 8 GB)(1 GB RAM)",3199.0
"Realme 2 (Diamond Black, 32 GB)(3 GB RAM)",9499.0
"Realme 2 (Diamond Blue, 32 GB)(3 GB RAM)",9499.0
"Realme 2 Pro (Black Sea, 64 GB)(4 GB RAM)",8999.0
"Realme 2 Pro (Black Sea, 64 GB)(6 GB RAM)",12990.0
"Realme 3 (Dynamic Black, 64 GB)(3 GB RAM)",9999.0
"Realme 3 (Dynamic Black, 64 GB)(4 GB RAM)",10999.0
"Realme 3 (Radiant Blue, 32 GB)(3 GB RAM)",8999.0
"Realme 3 Pro (Lightning Purple, 128 GB)(6 GB RAM)",15999.0
"Realme 3 Pro (Lightning Purple, 64 GB)(4 GB RAM)",12999.0
"Realme 3 Pro (Nitro Blue, 64 GB)(4 GB RAM)",12999.0
"Realme 3i (Diamond Black, 32 GB)(3 GB RAM)",7999.0
"Realme 3i (Diamond Black, 64 GB)(4 GB RAM)",9999.0
"Realme 3i (Diamond Red, 32 GB)(3 GB RAM)",7999.0
"Realme 3i (Diamond Red, 64 GB)(4 GB RAM)",9999.0
"Realme C1 (Mirror Black, 32 GB)(2 GB RAM)",7499.0
"Realme C1 (Mirror Black, 32 GB)(3 GB RAM)",8499.0
"Realme C2 (Diamond Black, 16 GB)(2 GB RAM)",5999.0
"Realme C2 (Diamond Black, 32 GB)(3 GB RAM)",7999.0
"Realme C2 (Diamond Blue, 16 GB)(2 GB RAM)",5999.0
"Realme C2 (Diamond Blue, 32 GB)(3 GB RAM)",7999.0
"Realme U1 (Brave Blue, 32 GB)(3 GB RAM)",9999.0
"Realme U1 (Fiery Gold, 32 GB)(3 GB RAM)",9190.0
"Realme U1 (Fiery Gold, 64 GB)(4 GB RAM)",11990.0
"Realme X (Onion, 128 GB)(8 GB RAM)",19999.0
"Realme X (Space Blue, 128 GB)(4 GB RAM)",16999.0
"Redmi 5 (Lake Blue, 16 GB)(2 GB RAM)",7450.0
"Redmi 5 (Lake Blue, 32 GB)(3 GB RAM)",9990.0
"Redmi 5 (Rose Gold, 64 GB)(4 GB RAM)",8780.0
"Redmi 5A (Blue, 16 GB)(2 GB RAM)",5999.0
"Redmi 5A (Gold, 32 GB)(3 GB RAM)",6999.0
"Redmi 6 (Black, 64 GB)(3 GB RAM)",8499.0
"Redmi 6 Pro (Black, 32 GB)(3 GB RAM)",9899.0
"Redmi 6 Pro (Red, 64 GB)(4 GB RAM)",10345.0
"Redmi 6 Pro (Rose Gold, 32 GB)(3 GB RAM)",9285.0
"Redmi 6A (Black, 32 GB)(2 GB RAM)",6454.0
"Redmi 6A (Gold, 32 GB)(2 GB RAM)",6695.0
"Redmi 7 (Comet Blue, 32 GB)(2 GB RAM)",7880.0
"Redmi 7 (Comet Blue, 32 GB)(3 GB RAM)",8999.0
"Redmi 7 (Lunar Red, 32 GB)(2 GB RAM)",7790.0
"Redmi 7 (Lunar Red, 32 GB)(3 GB RAM)",8872.0
"Redmi 7A (Matte Blue, 32 GB)(2 GB RAM)",6199.0
"Redmi Go (Black, 8 GB)(1 GB RAM)",4499.0
"Redmi Go (Blue, 16 GB)(1 GB RAM)",4799.0
"Redmi K20 (Glacier Blue, 128 GB)(6 GB RAM)",23999.0
"Redmi K20 Pro (Glacier Blue, 128 GB)(6 GB RAM)",27999.0
"Redmi K20 Pro (Glacier Blue, 256 GB)(8 GB RAM)",30999.0
"Redmi Note 5 (Gold, 64 GB)(4 GB RAM)",9530.0
"Redmi Note 5 Pro (Gold, 64 GB)(4 GB RAM)",10930.0
"Redmi Note 5 Pro (Gold, 64 GB)(6 GB RAM)",13999.0
"Redmi Note 6 Pro (Black, 64 GB)(4 GB RAM)",11999.0
"Redmi Note 6 Pro (Blue, 64 GB)(6 GB RAM)",13999.0
"Redmi Note 7 (Onyx Black, 32 GB)(3 GB RAM)",11799.0
