Product_name,Week0,Week1,Week2,Week3,Week4,Week5,Weight_sum
"Alcatel 3V (Spectrum Blue, 32 GB)(3 GB RAM)",0,0,3,3,9,8,19.6
"Alcatel 3V (Spectrum Gold, 32 GB)(3 GB RAM)",0,3,4,3,9,4,20.350000000000005
"Apple iPhone 6s (Silver, 32 GB)",0,11,18,15,14,4,56.699999999999974
"Apple iPhone 6s (Space Grey, 32 GB)",0,0,11,18,13,15,49.69999999999996
"Apple iPhone 6s Plus (Rose Gold, 32 GB)",0,1,4,4,3,4,14.150000000000002
"Apple iPhone 7 (Silver, 128 GB)",0,2,7,5,4,5,20.550000000000004
"Apple iPhone 7 Plus (Jet Black, 32 GB)",0,0,0,0,0,0,0.0
"Apple iPhone 7 Plus (Rose Gold, 256 GB)",0,0,1,0,1,0,1.7999999999999998
"Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)",0,0,0,0,0,0,0.0
"Apple iPhone 8 (Silver, 256 GB)",0,0,0,0,0,0,0.0
"Apple iPhone 8 (Silver, 64 GB)",0,0,0,0,0,0,0.0
"Apple iPhone 8 Plus (Gold, 256 GB)",0,0,3,0,1,4,6.8999999999999995
"Apple iPhone 8 Plus (Gold, 64 GB)",0,0,3,0,1,3,6.1
"Apple iPhone 8 Plus (PRODUCT)RED (Red, 256 GB)",0,0,0,0,0,0,0.0
"Apple iPhone SE (Gold, 128 GB)(2 GB RAM)",0,0,0,0,0,0,0.0
"Apple iPhone SE (Gold, 32 GB)",0,5,7,6,4,7,26.050000000000008
"Apple iPhone SE (Silver, 128 GB)",0,0,7,6,4,9,22.650000000000006
"Apple iPhone X (Space Gray, 64 GB)",0,11,13,11,13,6,49.09999999999998
"Apple iPhone XR (Black, 64 GB)",0,0,8,7,8,9,27.900000000000016
"Apple iPhone XR (White, 64 GB)",0,7,8,7,8,5,31.700000000000003
"Apple iPhone XS (Space Grey, 256 GB)",0,0,0,0,0,0,0.0
"Asus Zenfone 3 (Gold, 32 GB)(3 GB RAM)",0,0,0,0,0,0,0.0
"Asus Zenfone 4 Selfie (Black, 32 GB)(3 GB RAM)",0,0,0,2,0,1,2.6
"Asus ZenFone Lite L1 (Gold, 16 GB)(2 GB RAM)",0,67,77,80,96,52,335.3500000000018
"Asus ZenFone Max M2 (Black, 32 GB)(3 GB RAM)",0,0,158,159,138,126,511.3000000000043
"Asus ZenFone Max M2 (Black, 64 GB)(4 GB RAM)",0,49,58,39,25,6,165.2500000000003
"Asus ZenFone Max M2 (Blue, 32 GB)(3 GB RAM)",0,145,188,158,137,57,627.8499999999948
"Asus ZenFone Max M2 (Silver, 64 GB)(4 GB RAM)",0,0,60,40,25,17,127.85000000000004
"Asus Zenfone Max Pro M1 (Black, 64 GB)(4 GB RAM)",0,320,420,393,429,509,1844.5499999999427
"Asus Zenfone Max Pro M1 (Grey, 32 GB)(3 GB RAM)",0,197,195,207,173,219,890.7999999999871
"BLU Studio G HD (Grey, 8 GB)(1 GB RAM)",0,0,0,0,0,0,0.0
"BLU Studio One (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0,0.0
"Cloudfone Special Edition (White, 16 GB)(2 GB RAM)",0,0,0,0,0,0,0.0
"Forme F520 (Yellow, 4 GB)(512 MB RAM)",0,0,0,0,0,0,0.0
"Gionee F9 (Blue, 32 GB)(3 GB RAM)",0,0,0,0,0,0,0.0
"Gome C7 (Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0,0.0
"Google Pixel (Very Silver, 128 GB)(4 GB RAM)",0,0,0,0,0,0,0.0
"Google Pixel 2 (Clearly White, 64 GB)(4 GB RAM)",0,0,0,1,1,0,1.75
"Google Pixel 3 (Clearly White, 64 GB)(4 GB RAM)",0,0,3,0,0,2,4.449999999999999
"Google Pixel 3 (Just Black, 128 GB)(4 GB RAM)",0,1,3,0,0,0,3.8499999999999996
"Google Pixel 3 XL (Clearly White, 64 GB)(4 GB RAM)",0,0,2,0,1,1,3.55
"Google Pixel 3 XL (Not Pink, 128 GB)(4 GB RAM)",0,0,2,0,1,0,2.75
