Region,Count,Latitude,Longitude,State,Income
Guwahati,140,26.142980899999998,91.5627973,Assam,74204
Muzaffarpur,116,26.1203917,85.316174,Bihar,38631
Patna,439,25.6079707,85.00295729999999,Bihar,38631
Ghaziabad,204,28.699581,77.25494300000001,Delhi,328985
New Delhi,1558,28.527218100000002,77.0688997,Delhi,328985
Noida,221,28.5166817,77.2580446,Delhi,328985
Ahmedabad,355,23.019996799999998,72.29955009999999,Gujarat,174652
Surat,281,21.159142499999998,72.6822102,Gujarat,174652
Vadodara,127,22.3220425,73.0330003,Gujarat,174652
Faridabad,139,28.4024636,77.17898879999998,Haryana,203340
Gorakhpur,138,29.446716499999997,75.66360350000001,Haryana,203340
Gurugram,249,28.4228859,76.8496963,Haryana,203340
Ranchi,146,23.3431425,85.18124040000001,Jharkhand,69265
Bangalore,313,12.9538477,77.35074420000001,Karnataka,187649
Bengaluru,1075,12.9538477,77.35074420000001,Karnataka,187649
Ernakulam,119,9.9708673,76.2382528,Kerala,184000
Bhopal,169,23.199347699999997,77.2658056,Madhya Pradesh,82941
Indore,193,22.7239117,75.723764,Madhya Pradesh,82941
Aurangabad,167,19.8700415,75.1651153,Maharashtra,176102
Kalyan,135,19.2405342,73.09512990000002,Maharashtra,176102
Mumbai,819,19.0821978,72.7411,Maharashtra,176102
Nagpur,179,21.1610282,78.93242409999999,Maharashtra,176102
Nashik,113,19.990907999999997,73.6633947,Maharashtra,176102
Navi Mumbai,211,19.0162992,72.893075,Maharashtra,176102
Pimpri Chinchwad,118,18.6406433,73.6520582,Maharashtra,176102
Pune,557,18.524564899999998,73.7228812,Maharashtra,176102
Thane,218,19.2138786,72.9314198,Maharashtra,176102
Ludhiana,109,30.9002697,75.7165881,Punjab,142644
Jaipur,333,26.885141700000002,75.6504723,Rajasthan,99487
Chennai,1005,13.0474878,80.0689252,Tamil Nadu,171583
Coimbatore,197,11.0116775,76.8271484,Tamil Nadu,171583
East Godavari District,106,17.154398399999998,80.6189602,Telangana,180697
Hyderabad,1136,17.4121531,78.12785129999999,Telangana,180697
Agra,125,27.1761049,77.83992740000001,Uttar Pradesh,55456
Allahabad,161,25.4021974,81.6614988,Uttar Pradesh,55456
Kanpur,217,26.4471054,80.19829709999999,Uttar Pradesh,55456
Lucknow,386,26.848623,80.8024272,Uttar Pradesh,55456
Varanasi,169,25.3207461,82.9210686,Uttar Pradesh,55456
Howrah,114,22.5565568,87.89575500000001,West Bengal,93711
Kolkata,849,22.6757521,88.0495361,West Bengal,93711
Murshidabad District,102,24.287442199999997,87.7199405,West Bengal,93711
North Twenty Four Parganas District,113,22.6823617,88.1551184,West Bengal,93711
